budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,1,26172096,permissionbook_unsafe_behavior_02_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.3469,"{""active"": true, ""amount"": 15380, ""balance"": 859542, ""call_ok"": true, ""limit"": 60964, ""owner_zero"": true, ""sender_owner"": true, ""total"": 164561}"
32,1,26172097,permissionbook_unsafe_behavior_03_wrong_state_variable,Unsafe,behavior,wrong_state_variable,Unsafe,0.3733,"{""active"": true, ""amount"": 23873, ""balance"": 929379, ""call_ok"": true, ""limit"": 34575, ""owner_zero"": true, ""sender_owner"": true, ""total"": 869553}"
32,1,26172098,escrowdesk_safe_01_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,1,26172099,escrowdesk_safe_02_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172100,escrowdesk_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172101,escrowdesk_unsafe_behavior_01_return_value_change,Unsafe,behavior,return_value_change,Unsafe,0.4401,"{""active"": true, ""amount"": 12331, ""balance"": 258041, ""call_ok"": true, ""limit"": 26759, ""owner_zero"": false, ""sender_owner"": true, ""total"": 928924}"
32,1,26172102,escrowdesk_unsafe_behavior_02_omit_event,Unsafe,behavior,omit_event,Unsafe,0.3948,"{""active"": true, ""amount"": 57947, ""balance"": 760889, ""call_ok"": true, ""limit"": 61895, ""owner_zero"": false, ""sender_owner"": false, ""total"": 924936}"
32,1,26172103,escrowdesk_unsafe_behavior_03_remove_require,Unsafe,behavior,remove_require,Unsafe,0.36,"{""active"": false, ""amount"": 32325, ""balance"": 321889, ""call_ok"": false, ""limit"": 42609, ""owner_zero"": false, ""sender_owner"": true, ""total"": 1022335}"
32,1,26172104,milestoneescrow_safe_01_consume_storage_gap,Safe,safe,consume_storage_gap,Safe,0.0,
32,1,26172105,milestoneescrow_safe_02_append_state_variable,Safe,safe,append_state_variable,Safe,0.0,
32,1,26172106,milestoneescrow_safe_03_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172107,milestoneescrow_unsafe_behavior_01_change_revert_condition,Unsafe,behavior,change_revert_condition,Unsafe,0.3999,"{""active"": true, ""amount"": 37380, ""balance"": 501007, ""call_ok"": false, ""limit"": 24821, ""owner_zero"": true, ""sender_owner"": true, ""total"": 556458}"
32,1,26172108,milestoneescrow_unsafe_behavior_02_remove_access_modifier,Unsafe,behavior,remove_access_modifier,Unsafe,0.4057,"{""active"": true, ""amount"": 7619, ""balance"": 81155, ""call_ok"": true, ""limit"": 21415, ""owner_zero"": false, ""sender_owner"": false, ""total"": 473395}"
32,1,26172109,milestoneescrow_unsafe_behavior_03_change_call_recipient,Unsafe,behavior,change_call_recipient,Unsafe,0.4002,"{""active"": false, ""amount"": 7322, ""balance"": 526054, ""call_ok"": true, ""limit"": 58546, ""owner_zero"": false, ""sender_owner"": true, ""total"": 23396}"
32,1,26172110,crowdfund_safe_01_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.6379,
32,1,26172111,crowdfund_safe_02_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5916,
32,1,26172112,crowdfund_safe_03_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.6206,
32,1,26172113,crowdfund_unsafe_behavior_01_external_call_order_change,Unsafe,behavior,external_call_order_change,Unsafe,0.3689,"{""active"": true, ""amount"": 44472, ""balance"": 920256, ""call_ok"": true, ""limit"": 36417, ""owner_zero"": false, ""sender_owner"": true, ""total"": 717162}"
32,1,26172114,crowdfund_unsafe_behavior_02_success_to_revert,Unsafe,behavior,success_to_revert,Unsafe,0.4048,"{""active"": true, ""amount"": 22659, ""balance"": 662962, ""call_ok"": false, ""limit"": 62433, ""owner_zero"": true, ""sender_owner"": true, ""total"": 804473}"
32,1,26172115,crowdfund_unsafe_behavior_03_conditional_state_update,Unsafe,behavior,conditional_state_update,Unknown,0.3621,
32,1,26172116,campaignvault_safe_01_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5396,
